beat_index,boundary_probability,is_peak
150,0.09523809523809523,0
151,0.023809523809523808,0
152,0.0,0
153,0.0,0
154,0.0,0
155,0.0,0
156,0.19047619047619047,1
157,0.023809523809523808,0
158,0.0,0
159,0.0,0
160,0.023809523809523808,0
161,0.0,0
162,0.19047619047619047,1
163,0.09523809523809523,0
164,0.16666666666666666,0
165,0.0,0
166,0.0,0
167,0.0,0
168,0.19047619047619047,0
169,0.30952380952380953,1
170,0.047619047619047616,0
171,0.0,0
172,0.023809523809523808,0
173,0.0,0
174,0.0,0
175,0.0,0
176,0.047619047619047616,0
177,0.0,0
178,0.0,0
179,0.023809523809523808,0
180,0.19047619047619047,1
181,0.11904761904761904,0
182,0.0,0
183,0.0,0
184,0.0,0
185,0.0,0
186,0.0,0
187,0.0,0
188,0.023809523809523808,0
189,0.0,0
190,0.0,0
191,0.047619047619047616,0
192,0.2619047619047619,0
193,0.6428571428571429,1
194,0.023809523809523808,0
195,0.0,0
196,0.0,0
197,0.023809523809523808,0
198,0.07142857142857142,0
199,0.07142857142857142,0
200,0.0,0
201,0.0,0
202,0.0,0
203,0.047619047619047616,0
204,0.07142857142857142,0
205,0.19047619047619047,1
206,0.023809523809523808,0
207,0.047619047619047616,0
208,0.09523809523809523,0
209,0.0,0
210,0.0,0
211,0.023809523809523808,0
212,0.0,0
213,0.09523809523809523,0
214,0.07142857142857142,0
215,0.6428571428571429,1
216,0.023809523809523808,0
217,0.0,0
218,0.023809523809523808,0
219,0.07142857142857142,0
220,0.047619047619047616,0
221,0.0,0
222,0.047619047619047616,0
223,0.0,0
224,0.023809523809523808,0
225,0.023809523809523808,0
226,0.047619047619047616,0
227,0.09523809523809523,0
228,0.4523809523809524,1
229,0.23809523809523808,0
230,0.047619047619047616,0
231,0.0,0
232,0.0,0
233,0.0,0
234,0.023809523809523808,0
235,0.0,0
236,0.0,0
237,0.023809523809523808,0
238,0.023809523809523808,0
239,0.14285714285714285,1
240,0.0,0
241,0.0,0
242,0.0,0
243,0.023809523809523808,0
244,0.047619047619047616,0
245,0.0,0
246,0.0,0
247,0.0,0
248,0.0,0
249,0.0,0
250,0.09523809523809523,0
251,0.7857142857142857,1
252,0.047619047619047616,0
253,0.0,0
254,0.0,0
255,0.047619047619047616,0
256,0.09523809523809523,0
257,0.023809523809523808,0
258,0.0,0
259,0.0,0
260,0.07142857142857142,0
261,0.023809523809523808,0
262,0.07142857142857142,0
263,0.047619047619047616,0
264,0.5238095238095238,1
265,0.19047619047619047,0
266,0.0,0
267,0.0,0
268,0.023809523809523808,0
269,0.023809523809523808,0
270,0.0,0
271,0.0,0
272,0.0,0
273,0.0,0
274,0.047619047619047616,0
275,0.09523809523809523,0
276,0.023809523809523808,0
277,0.0,0
278,0.023809523809523808,0
279,0.0,0
280,0.0,0
281,0.19047619047619047,1
282,0.0,0
283,0.023809523809523808,0
284,0.0,0
285,0.11904761904761904,0
286,0.0,0
287,0.07142857142857142,0
288,0.0,0
289,0.0,0
290,0.0,0
291,0.047619047619047616,0
292,0.023809523809523808,0
293,0.14285714285714285,0
